pert_id	cmap_name
BRD-K25412176	GSK-2110183
BRD-A25004090	erastin
BRD-K08316444	rotenone
BRD-K77908580	entinostat
BRD-A49035384	metacycline
BRD-K88969189	BRD-K88969189
BRD-K83896451	glutamine
BRD-K52047316	BRD-K52047316
BRD-K57569181	pentoxifylline
BRD-K20909378	anadamide
BRD-K81919535	U-69
BRD-K19796430	sonidegib
BRD-K02140298	BRD-K02140298
BRD-K03439359	BRD-K03439359
BRD-A10523515	GSK-429286A
BRD-K11801786	trimidox
BRD-K53523901	arctigenin
BRD-K38700430	BRD-K38700430
BRD-K01608965	BRD-K01608965
BRD-K15892609	BRD-K15892609
BRD-K18396390	BRD-K18396390
BRD-K68202742	BRD-K68202742
BRD-K27677357	ruboxistaurin
BRD-K56956679	BG-1018
BRD-A19633847	perhexiline
BRD-A36630025	SN-38
BRD-K73947551	amifostine
BRD-A23723433	paclitaxel
BRD-K02764265	BRD-K02764265
BRD-K60661389	BRD-K60661389
BRD-U11638171	bigsaas
BRD-K10361096	BRD-K10361096
BRD-A45664787	iloprost
BRD-K42943439	BRD-K42943439
BRD-K68144790	BRD-K68144790
BRD-K27316855	calcitriol
BRD-K11558771	droxinostat
BRD-K23583188	lavendustin-a
BRD-K43164539	cholic-acid
BRD-A74382794	BRD-A74382794
BRD-K26684619	BRD-K26684619
BRD-K92232855	BRD-K92232855
BRD-K01006500	BRD-K01006500
BRD-K88367171	isobutyric-acid
BRD-K04927711	acea
BRD-K05649647	BRD-K05649647
BRD-A35588707	teniposide
BRD-A71390734	idarubicin
BRD-K02407574	parbendazole
BRD-K50498985	taladegib
BRD-K39841531	TG-101209
BRD-K61498099	BRD-K61498099
BRD-K77620628	BRD-K77620628
BRD-K24821794	SGC-CBP30
BRD-K71855865	BRD-K71855865
BRD-K20001883	RVX-208
BRD-K13094524	PFI-1
BRD-K17588104	JQ-1-R
BRD-K03953100	vismo-ester
BRD-K95149906	BRD-K95149906
BRD-K59058747	BRD-K59058747
BRD-K76359782	eseroline
BRD-K92193792	nizatidine
BRD-A23801136	rifabutin
BRD-K88615478	BRD-K88615478
BRD-A73558769	BRD-A73558769
BRD-K56869709	BRD-K56869709
BRD-K18190982	COT-10b
BRD-A40177530	citrinin
BRD-A80213327	NSC-23766
BRD-K86972824	oltipraz
BRD-K02965346	SU-11274
BRD-A75931230	F-1061-0166
BRD-K74514084	pazopanib
BRD-K26347562	BRD-K26347562
BRD-K32349359	ML-89-9
BRD-A75769921	BRD-A75769921
BRD-K19706299	MRE-269
BRD-K63494246	BRD-K63494246
BRD-A53077924	tianeptine
BRD-A88774919	doxycycline
BRD-K82255054	propofol
BRD-A90799790	isradipine
BRD-K79116891	proxymetacaine
BRD-A66165463	BRD-A66165463
BRD-K29546239	SNC-80
